BMC-69,17/04/1997,15/10/2022 14:01,19/10/2022 22:20,5,210.00
VIG-326,17/08/1978,13/10/2022 12:23,20/10/2022 14:03,8,344.00
AJB-123,07/07/1977,18/10/2022 10:31,13/11/2022 19:06,27,1755.00
TTC-513,28/01/2002,19/10/2022 14:32,13/11/2022 19:36,26,1326.00
MER-611,14/07/2000,20/10/2022 10:46,13/11/2022 22:45,25,1300.00
ZEQ-851,16/10/2001,22/10/2022 13:29,13/11/2022 23:16,23,1449.00
BKV-943,18,13/11/2022 23:31,13/11/2022 23:18,0,0.00
ZEQ-851,16/10/2001,22/10/2022 13:29,13/11/2022 23:21,23,1449.00
JMB-535,19,13/11/2022 23:10,13/11/2022 23:27,1,48.00
ZEQ-851,16/10/2001,22/10/2022 13:29,30/11/2022 20:13,39,2457.00
TTC-513,28/01/2002,19/10/2022 14:32,30/11/2022 20:20,42,2142.00
AMG-111,11/04/2004,30/11/2022 20:27,30/11/2022 20:30,0,0.00
